unique_id,sia_sample_id,sample_year,stream_name,site_id,sample_hitch,compartment,resource,taxon_code,length_mm,d13C,d13C_scl,d15N,d15N_scl,CN
2017-LR02-BNT-09,F-17-195,2017,Laramie,LR02,H3,fish,fish,BNT,70,-26.5601177,0.375679782,7.5887517,0.495351189,3.396617253
2017-LR02-BNT-60,F-17-246,2017,Laramie,LR02,H3,fish,fish,BNT,149,-26.5872014,0.37424592,8.1430236,0.526312553,3.465803067
2017-LR02-BNT-61,F-17-247,2017,Laramie,LR02,H3,fish,fish,BNT,180,-26.2210699,0.393629609,9.0440913,0.576645766,3.326069861
2017-LR02-BNT-62,F-17-248,2017,Laramie,LR02,H3,fish,fish,BNT,102,-25.9492298,0.408021333,8.9949786,0.573902354,3.331240784
2017-LR02-BNT-63,F-17-249,2017,Laramie,LR02,H3,fish,fish,BNT,190,-25.7616501,0.417952154,8.1771018,0.528216145,3.344768047
2017-LR02-BNT-67,F-17-253,2017,Laramie,LR02,H3,fish,fish,BNT,201,-26.19198,0.395169682,9.5151723,0.602960127,3.339066687
2017-LR02-BNT-66,F-17-252,2017,Laramie,LR02,H3,fish,fish,BNT,137,-26.3163644,0.388584539,8.8706934,0.566959842,3.394751888
2017-LR02-BNT-65,F-17-251,2017,Laramie,LR02,H3,fish,fish,BNT,185,-26.1498498,0.397400134,8.1440259,0.526368541,3.39083953
2017-LR02-BNT-58,F-17-244,2017,Laramie,LR02,H3,fish,fish,BNT,160,-25.9773166,0.406534365,8.2663065,0.533199078,3.396530023
2017-LR02-BNT-55,F-17-241,2017,Laramie,LR02,H3,fish,fish,BNT,163,-26.0425181,0.403082476,8.3504997,0.53790207,3.333531814
2017-LR02-BNT-56,F-17-242,2017,Laramie,LR02,H3,fish,fish,BNT,143,-26.5370464,0.37690122,9.6665196,0.611414315,3.470057691
2017-LR02-BNT-59,F-17-245,2017,Laramie,LR02,H3,fish,fish,BNT,143,-26.5591146,0.375732888,7.9365498,0.514779025,3.380321452
2017-LR02-BNT-54,F-17-240,2017,Laramie,LR02,H3,fish,fish,BNT,141,-26.3544822,0.386566511,8.3935986,0.540309554,3.49909142
2017-LR02-BNT-64,F-17-250,2017,Laramie,LR02,H3,fish,fish,BNT,131,-26.0746173,0.401383084,9.3477882,0.593610131,3.357528354
