site_id,taxon_code,food_group,IRI_100
MB02,BNT,amphib,0
MB02,BNT,benthicInv,64.1
MB02,BNT,crayfish,0
MB02,BNT,debris,0
MB02,BNT,fish,10.8
MB02,BNT,terrInv,21.5
MB02,LND,algae,5.5
MB02,LND,amphib,0
MB02,LND,benthicInv,90.7
MB02,LND,crayfish,0
MB02,LND,debris,9.3
MB02,LND,fish,0
MB02,LND,terrInv,1.1
MB02,LNS,algae,35.5
MB02,LNS,amphib,0
MB02,LNS,benthicInv,51.5
MB02,LNS,crayfish,0
MB02,LNS,debris,6.9
MB02,LNS,fish,0
MB02,LNS,terrInv,11.8
MB03,BNT,algae,0
MB03,BNT,amphib,3.4
MB03,BNT,benthicInv,52.6
MB03,BNT,crayfish,29.1
MB03,BNT,debris,0
MB03,BNT,fish,4.6
MB03,BNT,terrInv,18.6
MB03,CKC,algae,1
MB03,CKC,amphib,2.6
MB03,CKC,benthicInv,75.2
MB03,CKC,crayfish,14.5
MB03,CKC,debris,0
MB03,CKC,fish,6.7
MB03,CKC,terrInv,8.3
MB03,LND,algae,12.4
MB03,LND,amphib,0
MB03,LND,benthicInv,80.3
MB03,LND,crayfish,0
MB03,LND,debris,7.5
MB03,LND,fish,0
MB03,LND,terrInv,6.9
MB03,LNS,algae,27
MB03,LNS,amphib,0
MB03,LNS,benthicInv,40.5
MB03,LNS,crayfish,0
MB03,LNS,debris,14.9
MB03,LNS,fish,0
MB03,LNS,terrInv,5.6
MB03,WHS,algae,32.4
MB03,WHS,amphib,0
MB03,WHS,benthicInv,44.9
MB03,WHS,crayfish,0
MB03,WHS,debris,17.7
MB03,WHS,fish,0
MB03,WHS,terrInv,1.9
MB04,BNT,algae,0
MB04,BNT,amphib,2.3
MB04,BNT,benthicInv,34.9
MB04,BNT,crayfish,54.7
MB04,BNT,debris,0
MB04,BNT,fish,9.6
MB04,BNT,terrInv,12.4
MB04,CKC,algae,0.9
MB04,CKC,amphib,0.8
MB04,CKC,benthicInv,60.1
MB04,CKC,crayfish,10.1
MB04,CKC,debris,8.7
MB04,CKC,fish,5.5
